Column1,Column2,Column3,Column4,Column5,Column6
Column,Table,Meaning,Data Type,Example,Why Students Need It
RecordID,PrototypeRecords,Unique identifier for each assignment record,Text,R001,Used to identify each assignment uniquely
SubmittedDate,PrototypeRecords,Date when the assignment was created,Date,2026-07-01,Tracks when assignments are submitted
LastUpdatedDate,PrototypeRecords,Most recent update date,Date,2026-07-03,Shows the latest modification
ItemCategory,PrototypeRecords,Course or subject name,Text,ICT105,Groups assignments by course
Location,PrototypeRecords,Classroom or Online location,Text,Online,Shows where the assignment belongs
Priority,PrototypeRecords,Importance level of the assignment,Text,High,Helps prioritize urgent work
CurrentStatus,PrototypeRecords,Current progress of the assignment,Text,Pending,Shows assignment progress
ResolutionDays,PrototypeRecords,Number of days taken to complete the assignment,Number,3,Measures completion time
RequirementID,PrototypeRecords,Functional Requirement linked to the assignment,Text,FR-03,Connects implementation to project requirements
OwnerRole,PrototypeRecords,Role responsible for the record,Text,Student,Identifies who owns or manages the assignment
EventID,ActivityLog,Unique identifier for each activity event,Text,E001,Tracks every user action
EventDateTime,ActivityLog,Date and time when an action occurred,DateTime,2026-07-01 09:15,Supports timeline analysis
UserRole,ActivityLog,Role performing the activity,Text,Student,Distinguishes student and lecturer actions
ActionType,ActivityLog,Type of activity performed,Text,CreateAssignment,Measures user behavior
DeviceType,ActivityLog,Device used to access the system,Text,Desktop,Analyzes platform usage
ProcessingTimeMinutes,ActivityLog,Time required to complete an action,Number,3,Measures system efficiency
