EventID,RecordID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,R001,7/1/2026 9:15,Student,Login,Desktop,1,FR-01
E002,R001,7/1/2026 9:17,Student,CreateAssignment,Desktop,3,FR-03
E003,R001,7/2/2026 10:20,Student,ViewDashboard,Desktop,1,FR-12
E004,R002,7/2/2026 11:05,Student,CreateAssignment,Laptop,4,FR-03
E005,R002,7/2/2026 11:10,Student,SearchAssignment,Laptop,2,FR-06
E006,R003,7/3/2026 8:30,Student,CreateAssignment,Mobile,3,FR-03
E007,R003,7/3/2026 8:40,Student,ViewDetails,Mobile,1,FR-07
E008,R004,7/4/2026 13:00,Student,CreateAssignment,Desktop,3,FR-03
E009,R004,7/4/2026 13:15,Student,UpdateStatus,Desktop,2,FR-08
E010,R005,7/5/2026 9:45,Student,CreateAssignment,Laptop,4,FR-03
E011,R005,7/5/2026 10:00,Student,SearchAssignment,Laptop,2,FR-06
E012,R006,7/6/2026 14:20,Student,CreateAssignment,Desktop,3,FR-03
E013,R006,7/6/2026 14:30,Lecturer,UpdateStatus,Desktop,2,FR-09
E014,R007,7/7/2026 9:10,Student,CreateAssignment,Mobile,3,FR-03
E015,R007,7/7/2026 9:25,Student,ViewDashboard,Mobile,1,FR-12
E016,R008,7/8/2026 15:10,Student,CreateAssignment,Laptop,4,FR-03
E017,R008,7/8/2026 15:20,Student,EditAssignment,Laptop,3,FR-03
E018,R009,7/9/2026 10:00,Student,CreateAssignment,Desktop,3,FR-03
E019,R009,7/9/2026 10:20,Student,SearchAssignment,Desktop,2,FR-06
E020,R010,7/10/2026 11:30,Student,CreateAssignment,Desktop,3,FR-03
E021,R010,7/10/2026 11:40,Lecturer,UpdateStatus,Desktop,2,FR-09
E022,R011,7/11/2026 9:50,Student,CreateAssignment,Mobile,4,FR-03
E023,R011,7/11/2026 10:00,Student,ViewDetails,Mobile,1,FR-07
E024,R012,7/12/2026 13:30,Student,CreateAssignment,Laptop,3,FR-03
E025,R012,7/12/2026 13:45,Student,EditAssignment,Laptop,2,FR-03
E026,R013,7/13/2026 9:15,Student,CreateAssignment,Desktop,3,FR-03
E027,R013,7/13/2026 9:25,Student,ViewDashboard,Desktop,1,FR-12
E028,R014,7/14/2026 14:00,Lecturer,ViewDashboard,Desktop,1,FR-12
E029,R014,7/14/2026 14:10,Lecturer,UpdateStatus,Desktop,2,FR-09
E030,R015,7/15/2026 10:30,Student,CreateAssignment,Mobile,4,FR-03
E031,R015,7/15/2026 10:40,Student,SearchAssignment,Mobile,2,FR-06
E032,R001,7/16/2026 9:00,Student,ViewDashboard,Laptop,1,FR-12
E033,R003,7/16/2026 10:15,Student,EditAssignment,Laptop,2,FR-03
E034,R006,7/17/2026 8:45,Lecturer,UpdateStatus,Desktop,2,FR-09
E035,R010,7/17/2026 11:20,Student,ViewDetails,Desktop,1,FR-07
E036,R015,7/18/2026 9:50,Lecturer,UpdateStatus,Desktop,2,FR-09
